Protein_ID,Sequence_Length,DualEvo_Distances,DualEvo_Mean_Distance,SCREEN_Distances,SCREEN_Mean_Distance,Squidly_Distances,Squidly_Mean_Distance
O31544,287,"[0, 0]",0.0,"[0, 0, 41]",13.666666666666666,"[0, 0]",0.0
P10475,499,"[0, 0]",0.0,"[4, 1, 0, 2, 0, 0, 80]",12.428571428571429,"[0, 0]",0.0
Q39054,670,[243],243.0,"[363, 286, 59]",236.0,[],670.0
Q11001,990,"[175, 0, 0, 0, 0, 0]",29.166666666666668,"[33, 0, 0, 0, 0, 0]",5.5,[0],0.0
B5BLW5,306,"[42, 0, 0, 0]",10.5,"[0, 1, 0, 0]",0.25,"[0, 0, 0]",0.0
P80563,875,"[164, 161, 115, 0, 569]",201.8,"[32, 30, 0]",20.666666666666668,[],875.0
A2SU30,281,"[0, 0]",0.0,"[2, 0, 0, 31, 36]",13.8,[0],0.0
Q2LGB3,718,"[0, 0]",0.0,"[0, 0, 5]",1.6666666666666667,[0],0.0
Q54R82,942,"[0, 0, 581, 619, 621, 635]",409.3333333333333,"[0, 2, 5, 311]",79.5,[0],0.0
Q9HLE4,268,[0],0.0,[],268.0,[0],0.0
Q04399,608,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64]",5.333333333333333,[],608.0
A2SQW3,487,"[0, 0, 0, 0]",0.0,"[0, 0, 0, 0]",0.0,"[0, 0, 0]",0.0
Q46EH3,461,[],461.0,"[122, 120, 82, 80, 78, 41, 39, 2, 0, 0, 24]",53.45454545454545,[],461.0
Q8W4N3,961,"[0, 0]",0.0,"[5, 0, 0]",1.6666666666666667,"[0, 0]",0.0
P77324,318,"[0, 4, 4, 0, 0, 0, 0, 0, 0]",0.8888888888888888,"[0, 0, 0]",0.0,[],318.0
O69981,967,"[0, 0, 0, 0, 0, 9]",1.5,"[17, 1, 0, 0, 9, 298, 330, 576, 586, 592, 598]",273.3636363636364,[0],0.0
P25037,809,"[0, 0]",0.0,"[5, 0, 0]",1.6666666666666667,"[0, 0]",0.0
Q5A961,690,"[0, 0]",0.0,"[0, 2]",1.0,[0],0.0
P37391,473,"[0, 0, 0, 0, 0, 0]",0.0,"[0, 24, 50, 53, 30, 4, 3, 0]",20.5,[0],0.0
Q8N966,263,"[14, 0]",7.0,"[19, 22]",20.5,[],263.0
A0A140C435,397,[0],0.0,[0],0.0,[],397.0
O59272,287,"[149, 146, 45, 0, 0, 0, 49, 73]",57.75,"[149, 0, 3, 7, 51]",42.0,[],287.0
Q9AI65,453,"[111, 38, 0, 0, 0, 0, 91]",34.285714285714285,"[0, 0, 0, 0, 66, 91, 170]",46.714285714285715,[0],0.0
O60109,532,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0]",0.0,[],532.0
Q84HH8,515,"[0, 0, 182]",60.666666666666664,"[98, 0, 0, 105]",50.75,"[0, 0]",0.0
A2QWT2,443,"[0, 1, 23]",8.0,"[1, 56]",28.5,"[0, 23, 75]",32.666666666666664
A0A0H2WWV6,493,"[2, 1, 0, 0, 0, 0]",0.5,"[0, 0, 20]",6.666666666666667,[],493.0
Q5JE80,324,"[0, 0, 0, 141, 234]",75.0,"[0, 0, 0, 43, 74]",23.4,[],324.0
P15636,653,"[0, 0, 0]",0.0,"[0, 0, 2, 0]",0.5,"[0, 0, 0]",0.0
Q54S02,182,"[0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0]",0.0,[],182.0
P44679,136,[0],0.0,[18],18.0,[0],0.0
Q8RWN7,856,"[0, 0, 0, 0]",0.0,[],856.0,[],856.0
Q9HU15,634,[0],0.0,"[0, 186, 191, 254]",157.75,"[0, 153, 191]",114.66666666666667
Q95017,166,[0],0.0,"[10, 8, 0, 2]",5.0,[0],0.0
O54259,118,[],118.0,[],118.0,[],118.0
Q9UUF3,287,[0],0.0,"[0, 2, 5, 6]",3.25,[],287.0
Q9NFP1,558,"[0, 0, 6, 0]",1.5,"[0, 17, 0, 0]",4.25,"[0, 0]",0.0
A9AWD5,521,"[0, 0]",0.0,"[279, 34, 80]",131.0,"[0, 178]",89.0
I3RB26,270,[],270.0,"[17, 201]",109.0,[],270.0
Q2M405,599,"[250, 210, 196, 79, 0]",147.0,"[250, 194, 0]",148.0,"[0, 19]",9.5
Q6FJI9,129,[],129.0,[67],67.0,[],129.0
P38278,337,[0],0.0,[137],137.0,[],337.0
C4VBI7,614,"[0, 18, 1]",6.333333333333333,"[0, 3, 53, 38, 55]",29.8,[],614.0
Q9RWM1,193,"[0, 0, 0]",0.0,"[0, 82]",41.0,[],193.0
P73881,402,"[84, 34, 0, 0]",29.5,"[2, 44, 50]",32.0,[0],0.0
P15704,448,"[0, 0]",0.0,"[66, 64, 4, 1, 0, 2, 0, 0]",17.125,"[0, 0]",0.0
P0AEY3,263,"[151, 133, 111, 0, 0, 23, 22]",62.857142857142854,"[151, 149, 114, 81, 77, 76, 74, 4, 0, 0, 0, 0, 4]",56.15384615384615,[],263.0
Q8XAC3,377,"[70, 0, 0, 0, 21, 0]",15.166666666666666,"[0, 0, 0]",0.0,[0],0.0
Q9HZ00,285,"[17, 0, 0, 16, 0, 0]",5.5,"[3, 0, 0, 16, 0, 0]",3.1666666666666665,[],285.0
Q8Z5I4,257,"[0, 4, 0, 1, 0]",1.0,"[10, 0, 1, 48, 0]",11.8,[],257.0
P9WI63,399,"[0, 0]",0.0,"[0, 0, 2, 5, 39]",9.2,[0],0.0
D3JV05,285,"[34, 0, 0, 38]",18.0,"[34, 0, 24, 2, 0]",12.0,[],285.0
Q01738,773,"[0, 138, 0, 33]",42.75,"[0, 80, 0, 43]",30.75,"[0, 43]",21.5
Q04972,425,"[226, 175, 140, 107, 0]",129.6,"[141, 106, 53, 49, 46, 1, 0, 64]",57.5,[53],53.0
P49594,449,"[0, 0, 0, 0]",0.0,"[197, 1, 80, 1, 0, 0]",46.5,[],449.0
O86042,192,"[0, 0, 0, 93]",23.25,"[38, 24, 0, 0, 2, 4]",11.333333333333334,[],192.0
O31619,336,"[0, 0, 0, 2, 0, 0, 0, 20, 0, 0, 0, 0, 0]",1.6923076923076923,"[0, 20, 0, 0, 0, 20]",6.666666666666667,[],336.0
J7FJH2,367,"[0, 0, 0, 0, 0, 3]",0.5,"[33, 0, 0, 0, 0, 1, 3]",5.285714285714286,[],367.0
Q12706,436,"[0, 0]",0.0,"[0, 2, 4, 37]",10.75,[0],0.0
O34788,346,"[0, 0, 1, 30, 33, 40, 0]",14.857142857142858,"[0, 2, 5, 0]",1.75,[5],5.0
Q9XB59,273,"[0, 0, 0]",0.0,"[34, 0, 0, 60, 0, 0]",15.666666666666666,[],273.0
P45306,695,[0],0.0,"[396, 226, 55, 54, 0, 1, 0]",104.57142857142857,"[0, 0, 4]",1.3333333333333333
Q8KCU0,456,"[0, 0, 0]",0.0,"[0, 0, 0, 107]",26.75,[],456.0
P44888,593,[0],0.0,"[0, 73, 108]",60.333333333333336,[0],0.0
